p-value	FDR_BH	t-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.7834730273479112	0.9369012357529021	0.29387281443959595	row_4526	940.1773	39.0	15.14	14.848125238122485	14.36457189468917	19.30821434942456	18.899192519080003	14.286600132347496	14.54050308253964	14.800761495091121	15.289235193574646
0.7834914497323937	0.9369012357529021	0.2938469040188468	row_3967	828.6560000000001	39.0	15.08	12.322791305597772	15.098602537994793	18.272449814485793	17.270450277507074	13.028464312832178	14.39764901716732	13.347483381715183	15.7790743579223
0.783560384160341	0.9369012357529021	-0.2937499523681721	row_4696	1104.871	55.0	19.8	16.650438252206513	17.932776410758162	21.72174114310263	21.588062846883837	16.054228969683066	18.10165085503531	17.645476099997214	17.821807894350815
0.7835897639298564	0.9369012357529021	-0.29370863271919206	row_698	154.5498	89.0	9.49	12.427576945951495	10.521105887380571	16.327948470591316	16.056121742369854	11.531178709442047	9.479387623634613	10.82228382301231	11.245456560236565
0.783789810310176	0.9369012357529021	-0.29342730419778695	row_1215	200.1714	416.0	14.27	15.372053439891099	14.701002606204247	14.197791219490831	13.906952985738116	14.723308433336285	14.305814260856543	14.635850503502361	15.059948776220423
0.7838376430113259	0.9369012357529021	0.29336004049245884	row_3745	805.1486	38.0	14.81	13.726918886337653	14.06892066335774	18.19427890618853	16.711473650221684	13.26761409670699	14.040513853736522	14.532781133759388	14.34082319451855
0.7838930061921455	0.9369012357529021	-0.2932821892401076	row_200	112.9867	518.0	14.69	16.032202974119553	11.23474679059437	13.162026684552066	10.90004423206501	13.236420646636363	12.46911913464101	15.501633209343346	12.443999196406358
0.7839657837070899	0.9369012357529021	0.2931798534022675	row_694	154.0732	64.0	15.02	15.434924824103332	14.955874357352032	18.057479816668312	17.7523266803393	15.544735951862814	15.30579271846278	14.677078251399552	15.726963808523612
0.7839736419245672	0.9369012357529021	-0.29316880382311933	row_5995	442.0516	164.0	17.97	17.01718799344454	17.280304727819832	13.601738043724183	16.19104713516288	16.750882687927085	17.407788251798333	17.593941415125727	16.967194884212354
0.7841257789106395	0.936942298869902	-0.292954889935625	row_5533	168.0804	456.0	13.92	14.984346570582327	12.417351715920093	14.569103033902843	13.068488044810039	14.23461104889645	10.101823194185434	14.03804815899311	15.601898489966766
0.7842423844949824	0.936942298869902	-0.29279094647254134	row_437	134.9032	398.0	15.12	14.544246881096692	16.067115192356376	14.510474852679893	16.104309382653078	16.9900324718019	15.591500849207417	13.862830230430054	15.633164819605977
0.7846673593566211	0.9370131445887655	-0.29219352781033997	row_4044	836.2024	39.0	14.93	14.617596829344295	15.037433317719325	18.467877085228952	18.272753195398106	14.92086695045026	13.877252064739585	15.264573658934506	15.049526666340686
0.7847200408170163	0.9370131445887655	-0.2921194784726613	row_6370	720.9205	38.0	14.1	12.5009268941991	14.476715465194196	16.005493473865094	16.27778488767268	12.113456444093766	12.244634174770223	14.429711764016414	13.632119722696412
0.7848354592727701	0.9370131445887655	-0.2919572525359078	row_5685	207.9446	519.0	12.66	14.093668627575683	12.580469636654675	13.77762258739303	12.336035912505052	13.028464312832178	12.326265069268691	13.553622121201132	12.923416250874274
0.784986701630874	0.9370131445887655	-0.29174468869369485	row_7772	292.8459	24.0	13.16	14.49185406091983	14.333987284551437	10.416273530610617	12.297485800278473	14.723308433336285	14.31601812266885	12.811522659051715	14.288712645119864
0.7850302704366418	0.9370131445887655	-0.2916834578315888	row_4742	1200.269	71.0	19.39	13.202990684569041	15.536981949968983	21.19408751209609	21.838638576356598	15.170414551015282	16.856779713933673	16.790000331130525	12.454421306286093
0.7851055659118964	0.9370131445887655	-0.29157764200043673	row_2313	474.9637	555.0	10.98	10.227078498523321	9.674931673569924	11.344553066640643	13.868402873511538	10.865718441268656	10.173250226871595	10.131719045734382	10.244934011781783
0.78512208325205	0.9370131445887655	0.2915544300368193	row_1219	200.9727	491.0	17.2	17.57255188731927	17.219135507544365	17.979308908371046	16.393435224352416	17.697084006736127	17.458807560859874	17.356881864716886	17.290280290484212
0.7855635377169721	0.9372823673065913	-0.29093412137310226	row_6882	230.1121	78.0	13.94	13.485911913524092	13.620346381337638	10.338102622313352	10.928956816234944	12.674938545365064	13.713990275742649	13.543315184226834	13.663386052335623
0.7855821317475258	0.9372823673065913	0.2909079970256553	row_1505	243.1206	53.0	17.18	17.865951680309696	17.239525247636188	17.168285734786917	16.894586683297934	17.509923306312363	17.193507153739855	17.50117898235705	17.84265211411029
0.7857707584195261	0.9373675341038662	0.2906429929781406	row_4178	853.3679	39.0	15.03	12.438055509986865	14.323792414505526	18.53627662998906	18.398041060134485	14.931264767140469	14.438464464416555	14.306028520324846	13.746762931373523
0.7859826114554198	0.937383907151969	0.29034538769842955	row_1548	251.1286	192.0	15.61	16.62948112413577	15.7306844808413	18.174736179114213	18.118552746491794	16.251787486797046	15.887412841764364	16.01698005805822	16.373134621067326
